date_post;open_price
25/09/2014;116.300003
26/09/2014;117.019997
29/09/2014;117.269997
30/09/2014;116.540001
01/10/2014;116.610001
03/10/2014;115.169998
06/10/2014;115.160004
07/10/2014;116.309998
08/10/2014;117.029999
09/10/2014;117.860001
10/10/2014;117.699997
13/10/2014;118.139999
14/10/2014;118.580002
16/10/2014;119.019997
17/10/2014;119.059998
20/10/2014;119.68
21/10/2014;120.269997
22/10/2014;119.690002
23/10/2014;118.709999
24/10/2014;118.620003
27/10/2014;118.18
28/10/2014;118.480003
29/10/2014;117.650002
30/10/2014;115.800003
31/10/2014;111.830002
03/11/2014;112.389999
04/11/2014;112.120003
05/11/2014;109.919998
06/11/2014;109.919998
07/11/2014;110.779999
10/11/2014;112.239998
11/11/2014;111.080002
12/11/2014;112.050003
13/11/2014;111.889999
14/11/2014;110.760002
17/11/2014;113.970001
18/11/2014;114.860001
19/11/2014;114.93
20/11/2014;114.57
21/11/2014;115.580002
24/11/2014;115.150002
25/11/2014;115.099998
26/11/2014;115.25
28/11/2014;113.529999
01/12/2014;113.800003
02/12/2014;115.129997
03/12/2014;115.68
04/12/2014;116.010002
05/12/2014;115.160004
08/12/2014;114.970001
09/12/2014;117.040001
10/12/2014;118.150002
11/12/2014;116.980003
12/12/2014;117.389999
15/12/2014;116.220001
16/12/2014;116.279999
17/12/2014;115.099998
18/12/2014;115.589996
19/12/2014;115.059998
22/12/2014;114.809998
23/12/2014;112.879997
24/12/2014;112.830002
26/12/2014;114.82
29/12/2014;114.610001
30/12/2014;114.989998
31/12/2014;114.889999
02/01/2015;112.489998
05/01/2015;114.779999
06/01/2015;116.220001
07/01/2015;116.470001
08/01/2015;116.449997
09/01/2015;116.510002
12/01/2015;117.459999
13/01/2015;118.959999
14/01/2015;119.080002
15/01/2015;120.410004
16/01/2015;121.730003
20/01/2015;123.629997
21/01/2015;125.18
22/01/2015;125.07
23/01/2015;124.43
27/01/2015;123.559998
28/01/2015;123.519997
29/01/2015;121.989998
30/01/2015;121.300003
02/02/2015;121.839996
03/02/2015;121.739998
04/02/2015;121.629997
05/02/2015;120.980003
06/02/2015;119.150002
09/02/2015;118.830002
10/02/2015;118.629997
11/02/2015;118.489998
12/02/2015;117.68
13/02/2015;118.050003
17/02/2015;116.400002
18/02/2015;115.989998
19/02/2015;116.400002
20/02/2015;116.099998
23/02/2015;115.110001
24/02/2015;115
25/02/2015;115.830002
26/02/2015;116.540001
27/02/2015;116.739998
02/03/2015;116.5
03/03/2015;116.040001
04/03/2015;115.699997
05/03/2015;115.43
06/03/2015;113.169998
09/03/2015;112.419998
10/03/2015;112.089996
11/03/2015;111.230003
12/03/2015;111.150002
13/03/2015;111.099998
16/03/2015;111.089996
17/03/2015;109.919998
18/03/2015;110.330002
19/03/2015;111.849998
20/03/2015;112.709999
23/03/2015;113.699997
24/03/2015;114.349998
25/03/2015;115.110001
26/03/2015;115.730003
27/03/2015;115.139999
30/03/2015;113.900002
31/03/2015;113.839996
01/04/2015;114.559998
02/04/2015;115.470001
06/04/2015;117.32
07/04/2015;116.269997
08/04/2015;115.980003
09/04/2015;114.800003
10/04/2015;116
13/04/2015;115.349998
14/04/2015;114.690002
15/04/2015;114.800003
16/04/2015;115.550003
17/04/2015;115.379997
20/04/2015;114.82
21/04/2015;114.720001
22/04/2015;114.830002
23/04/2015;113.900002
24/04/2015;113.959999
27/04/2015;113.870003
28/04/2015;115.360001
29/04/2015;116.059998
30/04/2015;113.879997
01/05/2015;112.419998
04/05/2015;114.18
05/05/2015;114.889999
06/05/2015;114.589996
07/05/2015;113.839996
08/05/2015;114.339996
11/05/2015;114.089996
12/05/2015;114.099998
13/05/2015;115.739998
14/05/2015;117.279999
15/05/2015;116.800003
18/05/2015;117.779999
19/05/2015;116.550003
20/05/2015;116.029999
21/05/2015;115.529999
22/05/2015;115.510002
26/05/2015;113.839996
27/05/2015;113.779999
28/05/2015;113.849998
29/05/2015;114.139999
01/06/2015;115.019997
02/06/2015;114.360001
03/06/2015;114.129997
04/06/2015;112.980003
05/06/2015;111.599998
08/06/2015;112.389999
09/06/2015;113.150002
10/06/2015;114.139999
11/06/2015;113.269997
12/06/2015;113.059998
15/06/2015;113.279999
16/06/2015;113.080002
17/06/2015;113.07
18/06/2015;115.190002
19/06/2015;115.339996
22/06/2015;113.790001
23/06/2015;112.959999
24/06/2015;112.480003
25/06/2015;112.43
26/06/2015;112.199997
29/06/2015;112.809998
30/06/2015;112.239998
01/07/2015;112.120003
02/07/2015;111.660004
06/07/2015;111.709999
07/07/2015;111.080002
08/07/2015;111.379997
09/07/2015;111.800003
10/07/2015;111.18
13/07/2015;110.43
14/07/2015;111
15/07/2015;110
16/07/2015;109.669998
17/07/2015;109.110001
20/07/2015;106.599998
21/07/2015;105.809998
22/07/2015;104.389999
23/07/2015;104.980003
24/07/2015;103.610001
27/07/2015;104.940002
28/07/2015;105.089996
29/07/2015;104.93
30/07/2015;104.029999
31/07/2015;105.410004
03/08/2015;104.589996
04/08/2015;104.559998
05/08/2015;104.419998
06/08/2015;104.150002
07/08/2015;104.559998
10/08/2015;105.029999
11/08/2015;106.489998
12/08/2015;106.989998
13/08/2015;106.949997
14/08/2015;107.07
17/08/2015;107.370003
18/08/2015;106.669998
19/08/2015;107.629997
20/08/2015;109.809998
21/08/2015;110.93
24/08/2015;111.540001
25/08/2015;110.010002
26/08/2015;107.720001
27/08/2015;107.330002
28/08/2015;108.169998
31/08/2015;108.190002
01/09/2015;109.629997
02/09/2015;109.010002
03/09/2015;107.769997
04/09/2015;107.139999
08/09/2015;107.599998
09/09/2015;106.639999
10/09/2015;106.610001
11/09/2015;105.650002
14/09/2015;105.860001
15/09/2015;105.830002
16/09/2015;106.599998
17/09/2015;107.07
18/09/2015;109.099998
21/09/2015;108.489998
22/09/2015;107.580002
23/09/2015;108.540001
24/09/2015;109.669998
25/09/2015;109.870003
28/09/2015;108.370003
29/09/2015;108.239998
30/09/2015;106.779999
01/10/2015;106.980003
05/10/2015;109.139999
06/10/2015;109.800003
07/10/2015;109.75
08/10/2015;109.160004
09/10/2015;110.540001
12/10/2015;111.669998
13/10/2015;111.360001
14/10/2015;112.629997
15/10/2015;113.199997
16/10/2015;113.239998
19/10/2015;112.639999
20/10/2015;112.379997
21/10/2015;112.370003
22/10/2015;111.519997
23/10/2015;111.809998
26/10/2015;111.730003
27/10/2015;111.309998
28/10/2015;112.68
29/10/2015;110.230003
30/10/2015;109.5
02/11/2015;108.639999
03/11/2015;107.790001
04/11/2015;107.019997
05/11/2015;106.010002
06/11/2015;104.169998
09/11/2015;104.290001
10/11/2015;104.089996
11/11/2015;104.089996
12/11/2015;103.089996
13/11/2015;103.540001
16/11/2015;103.980003
17/11/2015;103.379997
18/11/2015;102.389999
19/11/2015;103.07
20/11/2015;103.580002
23/11/2015;102.480003
24/11/2015;103.120003
25/11/2015;102.470001
27/11/2015;101.010002
30/11/2015;101.529999
01/12/2015;102.300003
02/12/2015;101.349998
03/12/2015;101.230003
04/12/2015;102.739998
07/12/2015;103.32
08/12/2015;103.129997
09/12/2015;103.629997
10/12/2015;102.510002
11/12/2015;101.910004
14/12/2015;102.580002
15/12/2015;101.709999
16/12/2015;102.589996
17/12/2015;100.919998
18/12/2015;101.349998
21/12/2015;102.949997
22/12/2015;103.089996
23/12/2015;102.400002
24/12/2015;102.82
28/12/2015;102.480003
29/12/2015;102.519997
30/12/2015;101.470001
31/12/2015;101.480003
04/01/2016;103.129997
05/01/2016;103.129997
06/01/2016;104.370003
07/01/2016;105.830002
08/01/2016;105.480003
11/01/2016;105.470001
12/01/2016;104.089996
13/01/2016;103.889999
14/01/2016;103.75
15/01/2016;104.919998
19/01/2016;104.059998
20/01/2016;105.169998
21/01/2016;104.989998
22/01/2016;104.93
25/01/2016;105.760002
27/01/2016;106.860001
28/01/2016;106.550003
29/01/2016;106.610001
01/02/2016;107.540001
02/02/2016;107.919998
03/02/2016;107.910004
04/02/2016;110.449997
05/02/2016;109.790001
08/02/2016;113.669998
09/02/2016;114.43
10/02/2016;113.919998
11/02/2016;118.589996
12/02/2016;118.120003
16/02/2016;116
17/02/2016;115.470001
18/02/2016;115.300003
19/02/2016;117.260002
22/02/2016;115.440002
23/02/2016;116.68
24/02/2016;119
25/02/2016;117.620003
26/02/2016;117.43
29/02/2016;117.589996
01/03/2016;118.739998
02/03/2016;118.339996
03/03/2016;118.860001
04/03/2016;121.129997
07/03/2016;121.18
08/03/2016;121.790001
09/03/2016;119.199997
10/03/2016;120.5
11/03/2016;121.190002
14/03/2016;120.269997
15/03/2016;117.779999
16/03/2016;117.419998
17/03/2016;121.160004
18/03/2016;119.589996
21/03/2016;119
22/03/2016;119.730003
23/03/2016;116.739998
24/03/2016;116.769997
28/03/2016;116.730003
29/03/2016;117.360001
30/03/2016;117.879997
31/03/2016;118.160004
01/04/2016;116.080002
04/04/2016;116.669998
05/04/2016;117.760002
06/04/2016;116.699997
07/04/2016;118.650002
08/04/2016;118.07
11/04/2016;119.470001
12/04/2016;120.230003
13/04/2016;119.370003
14/04/2016;118.089996
15/04/2016;117.330002
18/04/2016;118.529999
19/04/2016;119.870003
20/04/2016;119.669998
21/04/2016;120.419998
22/04/2016;118.709999
25/04/2016;118.139999
26/04/2016;118.790001
27/04/2016;118.970001
28/04/2016;119.919998
29/04/2016;122.43
02/05/2016;123.779999
03/05/2016;123.730003
04/05/2016;122.849998
05/05/2016;122.629997
06/05/2016;122.830002
09/05/2016;121.199997
10/05/2016;120.739998
11/05/2016;121.849998
12/05/2016;122.019997
13/05/2016;121.089996
16/05/2016;122.93
17/05/2016;121.580002
18/05/2016;121.220001
19/05/2016;119
20/05/2016;120.190002
23/05/2016;118.860001
24/05/2016;118.169998
25/05/2016;116.589996
26/05/2016;117.57
27/05/2016;116.269997
31/05/2016;115.760002
01/06/2016;115.970001
02/06/2016;115.779999
03/06/2016;118.25
06/06/2016;118.889999
07/06/2016;118.5
08/06/2016;120.300003
09/06/2016;120.610001
10/06/2016;121.550003
13/06/2016;122.800003
14/06/2016;123
15/06/2016;122.519997
